,Title,LCCN,Start_Date,End_Date,Town,State,LatLong,X1880_Population
2172,Canton daily leader.,2013271052,1896-10-31,1896-11-02,Canton,South Dakota,"43.3008146, -96.5928198",NA
2173,The citizen-Republican.,sn99062010,10/8/1903,6/30/1921,Scotland,South Dakota,"43.1497151, -97.7175669",NA
2174,The daily Dakota farmers' leader.,2013271053,1890-09-10,1890-09-13,Canton,South Dakota,"43.3008146, -96.5928198",NA
2175,Daily press and Dakotaian.,sn84022144,1875-11-05,1880-04-24,Yankton,South Dakota,"42.8711088, -97.3972813",NA
2176,Dakota farmers' advocate.,sn00065126,1890-07-11,1890-08-15,Canton,South Dakota,"43.3008146, -96.5928198",NA
2177,Dakota farmers' leader.,sn00065127,1890-08-29,6/30/1916,Canton,South Dakota,"43.3008146, -96.5928198",NA
2178,Deutscher Herold.,sn98069091,9/5/1907,6/27/1918,Sioux Falls,South Dakota,"43.5473028, -96.728333",NA
2179,Forest City press.,sn93057084,10/1/1903,6/26/1919,Forest City,South Dakota,"45.0027608, -100.3004082",NA
2180,The Grant County herald.,sn00065151,1879-08-23,1883-03-30,Big Stone City,South Dakota,"45.2916316, -96.4628344",NA
2181,The herald-advance.,sn00065154,1890-04-11,5/10/1922,Milbank,South Dakota,"45.2150121, -96.6338493",NA
2182,The herald.,sn00065152,1883-04-06,1890-04-01,Big Stone City,South Dakota,"45.2916316, -96.4628344",NA
2183,The Hot Springs star.,sn96090256,1887-05-13,1892-02-19,Hot Spings,South Dakota,"43.431646, -103.4743625",NA
2184,Hot Springs weekly star.,sn96090259,1892-02-26,11/9/1917,Hot Springs,South Dakota,"43.431646, -103.4743625",NA
2185,Kimball enterprise.,sn99068075,1883-04-13,1883-08-10,Kimball,South Dakota,"43.7466651, -98.9584258",NA
2186,The Kimball graphic.,sn99068076,1883-08-17,8/4/1905,Kimball,South Dakota,"43.7466651, -98.9584258",NA
2187,The Lemmon herald.,sn89074986,1/12/1912,4/4/1917,Lemmon,South Dakota,"45.940834, -102.1593201",NA
2188,Lincoln County advocate.,sn2001063144,1876-04-26,1877-05-16,Canton,South Dakota,"43.3008146, -96.5928198",NA
2189,The Madison daily leader.,sn99062034,1890-04-07,9/30/1922,Madison,South Dakota,"44.0060847, -97.1139496",NA
2190,The Mitchell capital.,sn2001063112,1885-11-27,6/20/1918,Mitchell,South Dakota,"43.7094283, -98.0297992",NA
2191,Nachrichten=Herold.,sn98069092,8/29/1901,8/29/1907,Sioux Falls,South Dakota,"43.5473028, -96.728333",NA
2192,Philip weekly review and Bad River news.,sn95076626,7/25/1912,4/13/1916,Philip,South Dakota,"44.0394329, -101.6651441",NA
2193,Philip weekly review.,sn95076627,7/17/1919,3/25/1920,Philip,South Dakota,"44.0394329, -101.6651441",NA
2194,Philip weekly review.,sn95076625,6/14/1907,7/18/1912,Philip,South Dakota,"44.0394329, -101.6651441",NA
2195,Pierre weekly free press.,sn98062890,1890-01-02,6/27/1918,Pierre,South Dakota,"44.3667876, -100.3537522",NA
2196,The pioneer-review.,sn95076623,7/1/1920,6/30/1921,Philip,South Dakota,"44.0394329, -101.6651441",NA
2197,Press and daily Dakotaian.,sn91099608,1880-04-26,1889-04-25,Yankton,South Dakota,"42.8711088, -97.3972813",NA
2198,Saturday news.,sn2001063549,2/14/1908,6/26/1919,Watertown,South Dakota,"44.8994088, -97.1150732",NA
2199,The Sisseton weekly standard.,sn99062049,12/23/1904,11/11/1921,Sisseton,South Dakota,"45.6646815, -97.0498046",NA
2200,The state Democrat.,2015270501,1898-08-19,8/17/1900,Aberdeen,South Dakota,"45.4646985, -98.4864829",NA
2201,The Sully County watchman.,sn99062858,1883-07-07,1894-07-13,Clifton,South Dakota,"44.2402108, -98.1557066",NA
2202,Su������d Dakota Nachrichten.,sn98069093,1896-01-23,4/26/1900,Sioux Falls,South Dakota,"43.5473028, -96.728333",NA
2203,Su������d=Dakota Nachrichten und Herold.,sn98069095,5/3/1900,8/22/1901,Sioux Falls,South Dakota,"43.5473028, -96.728333",NA
2204,Turner County herald.,sn2001063133,1883-05-10,6/27/1918,Hurley,South Dakota,"43.2830402, -97.0892202",NA
2205,Wessington Springs herald.,sn99067997,1883-03-24,1891-12-18,Wessington Springs,South Dakota,"44.0791571, -98.569536",NA
2206,Yankton daily press and Dakotaian.,sn91099607,1875-04-26,1875-11-04,Yankton,South Dakota,"42.8711088, -97.3972813",NA
2207,The Athens post.,sn84024443,1849-10-12,1874-12-25,Athens,Tennessee,"35.4428512, -84.5929898",NA
2208,Blount County democrat.,sn96091617,1879-07-31,1883-01-20,Maryville,Tennessee,"35.7564719, -83.9704593",NA
2209,The Bolivar bulletin.,sn89058007,1888-11-30,12/23/1904,Bolivar,Tennessee,"35.2561937, -88.9878389",NA
2210,The Bolivar bulletin.,sn85033306,1865-09-21,1888-04-13,Bolivar,Tennessee,"35.2561937, -88.9878389",NA
2211,Brownlow's Knoxville Whig and independent journal.,sn83045627,1855-01-20,1855-01-20,Knoxville,Tennessee,"35.9606384, -83.9207392",NA
2212,"Brownlow's Knoxville Whig, and rebel ventilator.",sn83045586,1863-11-11,1866-02-21,Knoxville,Tennessee,"35.9606384, -83.9207392",NA
2213,Brownlow's Knoxville Whig.,sn83045629,1866-02-28,1869-01-27,Knoxville,Tennessee,"35.9606384, -83.9207392",NA
2214,Brownlow's Knoxville Whig.,sn83045628,1856-08-30,1861-07-27,Knoxville,Tennessee,"35.9606384, -83.9207392",NA
2215,Brownlow's Knoxville Whig.,sn99065841,1868-08-08,1868-08-08,Knoxville,Tennessee,"35.9606384, -83.9207392",NA
2216,Brownlow's weekly Whig.,sn83045630,1861-08-03,1861-10-26,Knoxville,Tennessee,"35.9606384, -83.9207392",NA
2217,The Camden chronicle.,sn89058013,1890-04-25,12/15/1922,Camden,Tennessee,"36.0589486, -88.0978151",NA
2218,Carroll County democrat.,sn89058115,1/5/1912,12/16/1921,Huntingdon,Tennessee,"36.0006178, -88.4281063",NA
2219,Carthage courier.,sn89058027,1/7/1915,12/22/1921,Carthage,Tennessee,"36.2522766, -85.951654",NA
2220,The Chattanooga Daily Rebel.,sn82015209,1862-08-09,1864-04-22,Chattanooga,Tennessee,"35.0456297, -85.3096801",NA
2221,The Chattanooga news.,sn85038531,1/1/1918,12/31/1920,Chattanooga,Tennessee,"35.0456297, -85.3096801",NA
2222,The Chilhowee echo.,sn97065165,1899-10-28,5/12/1900,Knoxville,Tennessee,"35.9606384, -83.9207392",NA
2223,Clarksville chronicle.,sn88061077,1868-01-03,1872-12-21,Clarksville,Tennessee,"36.5297706, -87.3594528",NA
2224,Clarksville chronicle.,sn88061076,1857-10-30,1865-09-08,Clarksville,Tennessee,"36.5297706, -87.3594528",NA
2225,Clarksville daily chronicle.,sn88061069,1884-11-05,1884-11-06,Clarksville,Tennessee,"36.5297706, -87.3594528",NA
2226,Clarksville evening chronicle.,sn88061070,1888-10-04,1889-03-19,Clarksville,Tennessee,"36.5297706, -87.3594528",NA
2227,Clarksville evening tobacco leaf-chronicle.,sn88061071,1890-03-06,1890-03-11,Clarksville,Tennessee,"36.5297706, -87.3594528",NA
2228,Clarksville weekly chronicle.,sn88061082,1873-01-04,1890-02-15,Clarksville,Tennessee,"36.5297706, -87.3594528",NA
2229,Clarksville weekly chronicle.,sn85033371,1865-09-15,1867-07-12,Clarksville,Tennessee,"36.5297706, -87.3594528",NA
2230,The Clarksville weekly chronicle.,sn88061075,1855-07-06,1855-07-06,Clarksville,Tennessee,"36.5297706, -87.3594528",NA
2231,The Columbia herald.,sn96091104,1881-05-13,12/30/1921,Columbia,Tennessee,"35.6150716, -87.0352831",NA
2232,The Columbia herald.,sn85033386,1861-03-30,1873-12-19,Columbia,Tennessee,"35.6150716, -87.0352831",NA
2233,The comet.,sn98069796,7/19/1917,10/5/1918,Johnson City,Tennessee,"36.3134397, -82.3534727",NA
2234,The comet.,sn89058128,1884-03-15,1/13/1916,Johnson City,Tennessee,"36.3134397, -82.3534727",NA
2235,The commercial courier.,sn89058320,1899-09-07,1899-09-07,Union City,Tennessee,"36.4242303, -89.0570096",NA
2236,The commercial.,sn89058321,4/19/1901,12/22/1922,Union City,Tennessee,"36.4242303, -89.0570096",NA
2237,The Covington leader.,sn89058364,1888-12-14,12/20/1922,Covington,Tennessee,"35.5762326, -89.6534029",NA
2238,Crossville chronicle.,sn85042757,1/6/1915,12/20/1922,Crossville,Tennessee,"35.9489566, -85.0269014",NA
2239,The daily bulletin.,sn85038523,1862-09-24,1863-01-28,Winchester,Tennessee,"35.1859163, -86.1122071",NA
2240,Daily Nashville patriot.,sn83025725,1860-06-05,1862-03-26,Nashville,Tennessee,"36.1626638, -86.7816016",43350
2241,Daily Nashville patriot.,sn96091000,1857-01-15,1858-01-30,Nashville,Tennessee,"36.1626638, -86.7816016",43350
2242,The Daily Nashville true Whig.,sn86071224,1855-07-02,1855-11-27,Nashville,Tennessee,"36.1626638, -86.7816016",43350
2243,Daily Nashville union.,sn85033708,1862-04-13,1862-06-18,Nashville,Tennessee,"36.1626638, -86.7816016",43350
2244,Daily tobacco leaf-chronicle.,sn88061072,1890-03-12,1892-12-31,Clarksville,Tennessee,"36.5297706, -87.3594528",NA
2245,Daily union and American.,sn85038519,1865-12-09,1866-11-23,Nashville,Tennessee,"36.1626638, -86.7816016",43350
2246,Daily union appeal.,sn97065211,1862-08-12,1862-08-30,Memphis,Tennessee,"35.1495343, -90.0489801",33592
2247,The Dickson County herald.,sn89058337,10/10/1913,12/22/1922,Dickson,Tennessee,"36.0770048, -87.3877899",NA
2248,Dresden enterprise and Sharon tribune.,sn89058336,1/2/1914,12/16/1921,Dresden,Tennessee,"36.2914512, -88.7081122",NA
2249,The Fayette falcon.,sn89058253,1/8/1915,12/23/1921,Somerville,Tennessee,"35.2436969, -89.3500714",NA
2250,Fayetteville observer.,sn85033395,1850-12-17,1880-12-23,Fayetteville,Tennessee,"35.1520266, -86.5705508",NA
2251,Grainger County news.,sn99065781,2/15/1917,12/13/1922,Rutledge,Tennessee,"36.2809202, -83.5149023",NA
2252,The Greeneville daily sun.,sn97065122,3/28/1918,9/25/1920,Greeneville,Tennessee,"36.1631574, -82.8309861",NA
2253,The herald and mail.,sn86053406,1873-12-26,1878-08-02,Columbia,Tennessee,"35.6150716, -87.0352831",NA
2254,Herald and tribune.,sn85033429,1869-08-26,1897-12-29,Jonesborough,Tennessee,"36.2942722, -82.4734787",NA
2255,The home journal.,sn95068565,1858-09-23,1884-10-29,Winchester,Tennessee,"35.1859163, -86.1122071",NA
2256,The home journal.,sn97065087,1857-01-22,1857-05-29,Winchester,Tennessee,"35.1859163, -86.1122071",NA
2257,Jackson County sentinel.,sn89058098,1/14/1916,12/21/1922,Gainesboro,Tennessee,"36.3556149, -85.6588665",NA
2258,The Johnson City comet.,sn98069795,1/20/1916,7/12/1917,Johnson City,Tennessee,"36.3134397, -82.3534727",NA
2259,Johnson City comet.,sn98069808,2/7/1918,2/7/1918,Johnson City,Tennessee,"36.3134397, -82.3534727",NA
2260,Knoxville daily chronicle.,sn85033437,1870-05-11,1882-12-31,Knoxville,Tennessee,"35.9606384, -83.9207392",NA
2261,The Knoxville independent.,sn85042907,5/20/1911,10/11/1919,Knoxville,Tennessee,"35.9606384, -83.9207392",NA
2262,Knoxville tri-weekly Whig and rebel ventilator.,sn85071003,1864-07-26,1864-07-29,Knoxville,Tennessee,"35.9606384, -83.9207392",NA
2263,Knoxville weekly chronicle.,sn85033438,1870-04-06,1875-02-24,Knoxville,Tennessee,"35.9606384, -83.9207392",NA
2264,Knoxville Whig and chronicle.,sn85042534,1875-03-03,1875-12-29,Knoxville,Tennessee,"35.9606384, -83.9207392",NA
2265,Lawrence democrat.,sn97065075,1890-04-25,12/24/1913,Lawrenceburg,Tennessee,"35.2423023, -87.3347389",NA
2266,The Lexington progress.,sn89058168,1/10/1913,12/29/1922,Lexington,Tennessee,"35.6509029, -88.3933796",NA
2267,Loudon free press.,sn86053481,1852-10-20,1855-02-14,Loudon,Tennessee,"35.7328541, -84.3338112",NA
2268,Maryville daily times.,sn89058369,1884-10-11,1884-10-11,Maryville,Tennessee,"35.7564719, -83.9704593",NA
2269,Maryville Republican.,sn96091618,1876-08-05,1877-10-27,Maryville,Tennessee,"35.7564719, -83.9704593",NA
2270,Maryville Republican.,sn83025728,1867-11-02,1870-02-26,Maryville,Tennessee,"35.7564719, -83.9704593",NA
2271,The Maryville times.,sn89058370,1885-01-08,5/12/1920,Maryville,Tennessee,"35.7564719, -83.9704593",NA
2272,McNairy County independent.,sn89058154,1/3/1913,12/8/1922,Selmer,Tennessee,"35.1700834, -88.5922704",NA
2273,The Memphis appeal.,sn84024448,1886-01-28,1889-06-30,Memphis,Tennessee,"35.1495343, -90.0489801",33592
2274,Memphis daily appeal.,sn83045160,1857-01-01,1886-01-27,Memphis,Tennessee,"35.1495343, -90.0489801",33592
2275,The Memphis union appeal.,sn86053503,1862-07-02,1862-08-10,Memphis,Tennessee,"35.1495343, -90.0489801",33592
2276,The Milan exchange.,sn86053488,1874-03-05,1887-12-31,Milan,Tennessee,"35.9197885, -88.7589488",NA
2277,The Morgan County press.,sn99065839,8/3/1916,12/15/1922,Wartburg,Tennessee,"36.1047979, -84.597162",NA
2278,The Morristown gazette.,sn85033681,1868-01-30,1884-12-17,Morristown,Tennessee,"36.2139814, -83.2948922",NA
2279,Mrs. Grundy of Grundy.,sn99065803,4/9/1903,7/2/1903,Tracy City,Tennessee,"35.2603569, -85.7360833",NA
2280,Mrs. Grundy.,sn89058318,12/17/1903,12/29/1921,Tracy City,Tennessee,"35.2603569, -85.7360833",NA
2281,Nashville daily patriot.,sn86053516,1855-12-01,1857-01-14,Nashville,Tennessee,"36.1626638, -86.7816016",43350
2282,The Nashville daily union.,sn83025718,1862-06-19,1866-06-17,Nashville,Tennessee,"36.1626638, -86.7816016",43350
2283,The Nashville globe.,sn86064259,1/11/1907,12/27/1918,Nashville,Tennessee,"36.1626638, -86.7816016",43350
2284,Nashville patriot.,sn85033711,1858-02-01,1860-12-29,Nashville,Tennessee,"36.1626638, -86.7816016",43350
2285,Nashville union and American.,sn85033699,1868-10-18,1875-08-31,Nashville,Tennessee,"36.1626638, -86.7816016",43350
2286,Nashville union and American.,sn85038518,1853-05-18,1862-02-01,Nashville,Tennessee,"36.1626638, -86.7816016",43350
2287,Nashville union and dispatch.,sn85038521,1866-11-24,1868-08-26,Nashville,Tennessee,"36.1626638, -86.7816016",43350
2288,The Nashville union.,sn86071264,1853-01-02,1853-05-17,Nashville,Tennessee,"36.1626638, -86.7816016",43350
2289,The Nashville weekly union.,sn85038522,1865-05-21,1865-05-21,Nashville,Tennessee,"36.1626638, -86.7816016",43350
2290,The Newport plain talk.,sn89058216,3/9/1911,11/8/1922,Newport,Tennessee,"35.9670412, -83.1876578",NA
2291,The news scimitar.,sn98069867,10/22/1918,12/31/1920,Memphis,Tennessee,"35.1495343, -90.0489801",33592
2292,The news.,sn85034339,1865-09-15,1867-03-07,Bristol,Tennessee,"36.5951059, -82.1887444",NA
2293,The Parisian.,sn89058354,1/23/1914,12/30/1921,Paris,Tennessee,"36.3020023, -88.3267107",NA
2294,Plateau gazette and east Tennessee news.,sn97065159,1883-03-24,1884-07-24,Rugby,Tennessee,"36.3603531, -84.700776",NA
2295,Polk County news-gazette.,sn88061288,7/14/1910,10/15/1914,Benton,Tennessee,"35.1742411, -84.6535468",NA
2296,Polk County news.,sn86071278,2/1/1917,12/22/1921,Benton,Tennessee,"35.1742411, -84.6535468",NA
2297,The Polk County Republican.,sn89058068,2/20/1914,4/12/1918,Ducktown,Tennessee,"35.0359126, -84.3827012",NA
2298,Public ledger.,sn85033673,1866-03-05,1883-12-31,Memphis,Tennessee,"35.1495343, -90.0489801",33592
2299,The Pulaski citizen.,sn85033964,1866-01-05,1889-12-26,Pulaski,Tennessee,"35.1998023, -87.0308412",NA
2300,Putnam County herald.,sn89058133,1/5/1911,12/22/1921,Cookeville,Tennessee,"36.162839, -85.5016423",NA
2301,The Republican.,sn85042543,1873-01-04,1875-03-06,Maryville,Tennessee,"35.7564719, -83.9704593",NA
2302,The Rugbeian and district reporter.,sn96086912,1882-10-07,1883-03-17,Rugby,Tennessee,"36.3603531, -84.700776",NA
2303,The Rugbeian.,sn97065158,1881-01-01,1882-09-30,Rugby,Tennessee,"36.3603531, -84.700776",NA
2304,The Rugby gazette and east Tennessee news.,sn93063896,1884-08-16,1887-06-25,Rugby,Tennessee,"36.3603531, -84.700776",NA
2305,The Rugby news.,sn97065160,1890-11-15,1891-02-21,Rugby,Tennessee,"36.3603531, -84.700776",NA
2306,Savannah courier.,sn89058248,1885-09-17,12/27/1901,Savannah,Tennessee,"35.2248034, -88.2492037",NA
2307,The Sequachee news.,sn89058249,1895-07-11,1896-07-02,Sequachee,Tennessee,"35.1155452, -85.5943531",NA
2308,Sequachee Valley news.,sn89058250,1896-07-09,12/30/1920,Sequachee,Tennessee,"35.1155452, -85.5943531",NA
2309,The Sneedville news.,sn97065558,10/3/1913,10/27/1922,Sneedville,Tennessee,"36.5298107, -83.2173971",NA
2310,Southern standard.,sn86090474,1880-02-21,1891-12-26,McMinnville,Tennessee,"35.6865889, -85.7801453",NA
2311,The states-graphic.,sn89058012,1/7/1916,10/25/1918,Brownsville,Tennessee,"35.5939671, -89.262291",NA
2312,The Sweetwater enterprise.,sn89058302,1869-11-11,1872-11-21,Sweetwater,Tennessee,"35.6014636, -84.4610394",NA
2313,The Sweetwater forerunner.,sn97065409,1868-03-13,1869-03-18,Sweetwater,Tennessee,"35.6014636, -84.4610394",NA
2314,Tennessee staatszeitung.,sn86053575,1866-03-17,1869-03-31,Nashville,Tennessee,"36.1626638, -86.7816016",43350
2315,Tennessee staatszeitung.,sn95068537,1867-04-14,1869-03-24,Nashville,Tennessee,"36.1626638, -86.7816016",43350
2316,Tri-weekly union and American.,sn96091014,1866-09-29,1866-11-06,Nashville,Tennessee,"36.1626638, -86.7816016",43350
2317,Tri-weekly Whig.,sn83045306,1860-02-25,1861-06-25,Knoxville,Tennessee,"35.9606384, -83.9207392",NA
2318,Union and American.,sn85042816,1875-11-10,1877-06-07,Greeneville,Tennessee,"36.1631574, -82.8309861",NA
2319,The Union flag.,sn85038553,1865-08-25,1871-01-13,Jonesborough,Tennessee,"36.2942722, -82.4734787",NA
2320,The union.,sn97065126,1877-07-19,1877-07-26,Greeneville,Tennessee,"36.1631574, -82.8309861",NA
2321,Weekly Clarksville chronicle.,sn85033372,1856-04-25,1857-10-23,Clarksville,Tennessee,"36.5297706, -87.3594528",NA
2322,The weekly herald.,sn86053402,1876-07-14,1881-12-09,Cleveland,Tennessee,"35.1595182, -84.8766115",NA
2323,The west Tennessee star.,sn89058006,1888-04-20,1888-11-23,Bolivar,Tennessee,"35.2561937, -88.9878389",NA
2324,Whig and tribune.,sn85033435,1871-07-29,1876-09-23,Jackson,Tennessee,"35.6145169, -88.8139469",NA
2325,The Winchester appeal.,sn97065089,1856-02-16,1856-06-28,Winchester,Tennessee,"35.1859163, -86.1122071",NA
2326,Winchester army bulletin.,sn85038525,1863-07-11,1863-08-16,Winchester,Tennessee,"35.1859163, -86.1122071",NA
2327,Winchester daily bulletin.,sn85038524,1863-01-29,1863-06-20,Winchester,Tennessee,"35.1859163, -86.1122071",NA
2328,The Winchester home journal.,sn97065088,1857-06-06,1858-09-09,Winchester,Tennessee,"35.1859163, -86.1122071",NA
2329,The Winchester weekly appeal.,sn97065090,1856-07-05,1856-12-19,Winchester,Tennessee,"35.1859163, -86.1122071",NA
2330,Wochenblatt der Tennessee staatszeitung.,sn96091060,1867-04-01,1867-04-07,Nashville,Tennessee,"36.1626638, -86.7816016",43350
2331,Amarillo daily news.,sn85042551,1/13/1911,12/31/1922,Amarillo,Texas,"35.2219971, -101.8312969",NA
2332,The Austin weekly statesman.,sn86088296,1883-04-19,1898-01-27,Austin,Texas,"30.267153, -97.7430608",NA
2333,The avalanche.,sn86088028,7/24/1908,4/1/1909,Lubbock,Texas,"33.5778631, -101.8551665",NA
2334,The Beaumont enterprise.,sn86071101,8/26/1904,10/14/1904,Beaumont,Texas,"30.080174, -94.1265562",NA
2335,Brenham weekly banner.,sn86089443,1877-01-05,1897-12-30,Brenham,Texas,"30.1668828, -96.3977442",NA
2336,The Brownsville daily herald.,sn86099906,1897-08-02,12/31/1909,Brownsville,Texas,"25.9017472, -97.4974838",NA
2337,Bryan daily eagle and pilot.,sn86088651,3/31/1909,3/9/1917,Bryan,Texas,"30.6743643, -96.3699632",NA
2338,Bryan daily eagle.,sn86088792,8/2/1922,8/2/1922,Bryan,Texas,"30.6743643, -96.3699632",NA
2339,The Bryan daily eagle.,sn88083938,1895-12-04,1898-06-30,Bryan,Texas,"30.6743643, -96.3699632",NA
2340,The Bryan eagle.,sn86088572,1892-07-07,4/24/1913,Bryan,Texas,"30.6743643, -96.3699632",NA
2341,Bryan morning eagle and pilot.,sn95078907,1/24/1909,3/30/1909,Bryan,Texas,"30.6743643, -96.3699632",NA
2342,Bryan morning eagle.,sn86088652,1898-07-10,1/23/1909,Bryan,Texas,"30.6743643, -96.3699632",NA
2343,Canyon City news.,sn86088199,3/20/1903,9/4/1908,Canyon City,Texas,"29.8738292, -98.1877886",NA
2344,Corpus Christi caller and daily herald.,sn86088527,12/3/1911,10/17/1917,Corpus Christi,Texas,"27.8005828, -97.396381",NA
2345,The Corpus Christi caller.,sn86071134,7/1/1918,9/30/1921,Corpus Christi,Texas,"27.8005828, -97.396381",NA
2346,The daily enterprise.,2013271050,1898-09-23,6/23/1902,Beaumont,Texas,"30.080174, -94.1265562",NA
2347,The daily herald.,sn86089174,1892-07-04,1897-06-30,Brownsville,Texas,"25.9017472, -97.4974838",NA
2348,The daily Panhandle.,sn86088049,8/27/1907,12/1/1920,Amarillo,Texas,"35.2219971, -101.8312969",NA
2349,The Dallas daily herald.,sn83025733,1873-02-11,1887-12-29,Dallas,Texas,"32.7766642, -96.7969879",NA
2350,The Dallas express.,sn83025779,1/11/1919,12/30/1922,Dallas,Texas,"32.7766642, -96.7969879",NA
2351,Dallas herald.,sn84022278,1855-12-08,1873-06-14,Dallas,Texas,"32.7766642, -96.7969879",NA
2352,The Dallas weekly herald.,sn84022279,1873-06-21,1885-12-03,Dallas,Texas,"32.7766642, -96.7969879",NA
2353,El Democrata fronterizo.,sn83045001,1/7/1904,5/30/1919,Laredo,Texas,"27.5035613, -99.5075519",NA
2354,El Paso daily herald.,sn86064199,1896-12-04,4/2/1901,El Paso,Texas,"31.7618778, -106.4850217",NA
2355,El Paso herald.,sn88084272,1/3/1910,1/12/1921,El Paso,Texas,"31.7618778, -106.4850217",NA
2356,Fort Worth daily gazette.,sn86064205,1883-01-02,1890-12-31,Fort Worth,Texas,"32.7554883, -97.3307658",NA
2357,The Fort Worth gazette.,sn86090803,1891-04-02,1891-05-28,Fort Worth,Texas,"32.7554883, -97.3307658",NA
2358,Fort Worth gazette.,sn86071158,1891-04-01,1896-04-30,Fort Worth,Texas,"32.7554883, -97.3307658",NA
2359,Fort Worth weekly gazette.,sn86088529,1886-05-21,1890-12-25,Fort Worth,Texas,"32.7554883, -97.3307658",NA
2360,Freie Presse fu������r Texas.,sn83045227,1894-01-02,12/31/1901,San Antonio,Texas,"29.4241219, -98.4936282",20550
2361,The Gonzales inquirer.,sn83021636,1853-06-04,1854-05-27,Gonzales,Texas,"29.5016257, -97.4524926",NA
2362,The Greenville morning herald.,sn86089407,1/2/1910,11/13/1918,Greenville,Texas,"33.1384488, -96.1108066",NA
2363,The Houston daily post.,sn86071197,1893-12-01,2/28/1903,Houston,Texas,"29.7604267, -95.3698028",NA
2364,Jefferson jimplecute.,sn86089978,2/8/1907,12/1/1911,Jefferson,Texas,"32.7573626, -94.3451926",NA
2365,Jefferson jimplecute.,sn86071254,1889-07-10,1896-09-05,Jefferson,Texas,"32.7573626, -94.3451926",NA
2366,The Jewish herald.,sn93068209,9/24/1908,12/28/1911,Houston,Texas,"29.7604267, -95.3698028",NA
2367,The Jewish monitor.,sn89070104,6/20/1919,9/16/1921,Fort Worth-Dallas,Texas,"32.7766642, -96.7969879",NA
2368,The Jimplecute.,sn86089977,9/8/1900,2/2/1907,Jefferson,Texas,"32.7573626, -94.3451926",NA
2369,The Lubbock avalanche.,sn86088055,11/11/1909,10/31/1922,Lubbock,Texas,"33.5778631, -101.8551665",NA
2370,Palestine daily herald.,sn86090383,9/5/1903,12/31/1910,Palestine,Texas,"31.7621153, -95.6307891",NA
2371,La prensa.,sn83045395,2/13/1913,12/31/1922,San Antonio,Texas,"29.4241219, -98.4936282",20550
2372,The Randall County news.,sn86064255,9/11/1908,9/30/1910,Canyon City,Texas,"29.8738292, -98.1877886",NA
2373,El regidor.,sn84045523,2/18/1904,12/29/1915,San Antonio,Texas,"29.4241219, -98.4936282",20550
2374,The San Angelo press.,sn86090049,9/27/1901,12/6/1906,San Angelo,Texas,"31.4637723, -100.4370375",NA
2375,The San Antonio light.,sn87090966,1883-04-03,1886-12-20,San Antonio,Texas,"29.4241219, -98.4936282",20550
2376,San Marcos free press.,sn86088181,1877-11-10,1890-08-07,San Marcos,Texas,"29.8832749, -97.9413941",NA
2377,San Saba County news.,sn86088452,1892-02-19,1893-12-22,San Saba,Texas,"31.1957234, -98.718098",NA
2378,The San Saba news.,sn84022097,1876-11-25,1891-08-07,San Saba,Texas,"31.1957234, -98.718098",NA
2379,The San Saba weekly news.,sn87091222,1891-08-14,1892-02-12,San Saba,Texas,"31.1957234, -98.718098",NA
2380,Shiner gazette.,sn86090270,1893-07-20,12/14/1911,Shiner,Texas,"29.4291304, -97.1705425",NA
2381,The Snyder signal.,sn86064239,2/24/1911,12/30/1921,Snyder,Texas,"32.7178862, -100.9176184",NA
2382,The stayer.,sn86088093,9/19/1901,12/4/1902,Canyon City,Texas,"29.8738292, -98.1877886",NA
2383,The twice=a=week herald.,sn86088114,3/31/1905,11/16/1906,Amarillo,Texas,"35.2219971, -101.8312969",NA
2384,The Waco daily examiner.,sn84022109,1874-01-01,1888-03-31,Waco,Texas,"31.549333, -97.1466695",NA
2385,The Waco evening news.,sn86088201,1892-01-01,1894-06-30,Waco,Texas,"31.549333, -97.1466695",NA
2386,Waco evening news.,sn87090385,1888-07-16,1889-05-07,Waco,Texas,"31.549333, -97.1466695",NA
2387,The Waxahachie daily light.,sn86090369,1/2/1902,12/31/1910,Waxahachie,Texas,"32.3865312, -96.8483311",NA
2388,The weekly democratic statesman.,sn83021327,1871-08-01,1883-04-12,Austin,Texas,"30.267153, -97.7430608",NA
2389,The weekly herald.,sn86088122,11/22/1906,12/31/1908,Amarillo,Texas,"35.2219971, -101.8312969",NA
2390,American Fork citizen.,sn85058027,1/3/1914,12/30/1922,American Fork,Utah,"40.3768954, -111.7957645",NA
2391,The Citizen.,sn85058028,8/11/1906,8/31/1912,American Fork,Utah,"40.3768954, -111.7957645",NA
2392,The Coalville times.,sn85058217,1894-07-20,9/6/1912,Coalville,Utah,"40.9177251, -111.3993634",NA
2393,Deseret evening news.,sn83045555,1889-11-21,12/31/1910,Great Salt Lake City,Utah,"40.7607793, -111.8910474",NA
2394,Deseret farmer.,2010218520,7/11/1908,7/17/1909,Provo,Utah,"40.2338438, -111.6585337",NA
2395,The Dispatch.,sn86091037,1891-01-21,1891-08-15,Provo City,Utah,"40.2338438, -111.6585337",NA
2396,Eastern Utah advocate.,sn86091022,8/1/1912,5/28/1915,Price,Utah,"39.5994095, -110.8107148",NA
2397,The Evening dispatch.,sn86091038,1894-01-02,1895-12-10,Provo,Utah,"40.2338438, -111.6585337",NA
2398,The Evening standard.,sn85058397,8/16/1910,4/26/1913,Ogden City,Utah,"41.223, -111.9738304",NA
